DEBUG 18-01 09:21:49,609 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 18-01 09:21:49,611 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 18-01 09:21:49,613 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 18-01 09:21:49,616 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 18-01 09:21:49,621 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 18-01 09:21:49,623 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 18-01 09:21:49,624 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 18-01 09:21:49,624 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 18-01 09:21:49,627 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 18-01 09:21:49,629 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 18-01 09:21:49,631 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 18-01 09:21:49,634 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 18-01 09:21:49,636 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 18-01 09:21:49,636 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 18-01 09:21:49,639 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 18-01 09:21:49,640 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 18-01 09:21:49,643 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 18-01 09:21:49,644 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 18-01 09:21:49,647 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 18-01 09:21:49,647 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 18-01 09:21:49,649 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 18-01 09:21:49,651 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 18-01 09:21:49,654 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 18-01 09:21:49,656 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 18-01 09:21:49,656 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 18-01 09:21:49,659 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 18-01 09:21:49,663 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 18-01 09:21:49,665 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 18-01 09:21:49,668 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 18-01 09:21:49,671 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 18-01 09:21:49,674 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 18-01 09:21:49,674 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 18-01 09:21:49,677 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 18-01 09:21:49,688 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 18-01 09:21:49,714 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 18-01 09:21:49,742 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 18-01 09:21:49,743 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 18-01 09:21:49,757 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 18-01 09:21:49,793 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 18-01 09:21:49,794 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 18-01 09:21:49,796 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 18-01 09:21:51,206 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 18-01 09:21:51,207 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 18-01 09:21:51,268 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
DEBUG 18-01 09:41:33,115 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  18-01 09:41:33,118 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /Users/dinghanji/Downloads/PGDSpider_2.1.1.3/spider.conf.xml
DEBUG 18-01 09:41:34,234 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 18-01 09:41:34,234 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 18-01 09:41:34,287 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 18-01 09:41:34,290 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 18-01 09:41:34,294 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 18-01 09:41:34,312 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 18-01 09:41:34,312 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 18-01 09:41:34,321 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 18-01 09:41:34,325 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 18-01 09:41:34,327 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 18-01 09:41:34,327 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 18-01 09:41:34,331 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 18-01 09:41:34,333 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 18-01 09:41:34,336 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 18-01 09:41:34,340 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 18-01 09:41:34,341 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 18-01 09:41:34,342 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 18-01 09:41:34,342 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 18-01 09:41:34,344 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 18-01 09:41:34,346 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 18-01 09:41:34,349 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 18-01 09:41:34,351 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 18-01 09:41:34,353 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 18-01 09:41:34,353 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 18-01 09:41:34,355 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 18-01 09:41:34,357 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 18-01 09:41:34,359 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 18-01 09:41:34,361 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 18-01 09:41:34,364 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 18-01 09:41:34,364 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 18-01 09:41:34,366 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 18-01 09:41:34,369 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 18-01 09:41:34,371 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 18-01 09:41:34,373 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 18-01 09:41:34,373 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 18-01 09:41:34,376 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 18-01 09:41:34,380 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 18-01 09:41:34,382 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 18-01 09:41:34,385 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 18-01 09:41:34,387 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 18-01 09:41:34,390 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 18-01 09:41:34,391 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 18-01 09:41:34,394 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 18-01 09:41:34,404 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 18-01 09:41:34,435 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
